OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Tongue_mean	Other_mean	Lip_mean	Gingiva_mean	Cheek_mean	taxonomy
366	3.13309338818	0.535804781671	0.809437937842	1.0	1.3472625	2.3667	0.0	1.00639047619	0.0	1__Bacteria; 2__Proteobacteria; 3__Epsilonproteobacteria; 4__Campylobacterales; 5__Campylobacteraceae; 6__Campylobacter; 7__Campylobacter jejuni
223	3.08550519531	0.54361967496	0.809437937842	1.0	1.51775	2.06468	0.0	2.59662857143	0.0	1__Bacteria; 2__Firmicutes; 3__Tissierellia; 4__Tissierellales; 5__Peptoniphilaceae; 6__Finegoldia; 7__Finegoldia magna
94	3.02538164628	0.553586864084	0.809437937842	1.0	4.8701625	3.65676	2.8976	4.55511428571	0.0	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Prevotella; 7__Prevotella_u
179	3.02423756019	0.553777527644	0.809437937842	1.0	1.3234625	1.5943	0.0	2.5141047619	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas putida
134	3.00805028672	0.556479109032	0.809437937842	1.0	1.695275	3.35294	0.0	2.84768095238	5.0556	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Xanthomonadales; 5__Xanthomonadaceae; 6__Xanthomonas; 7__Xanthomonas citri
381	3.00452455125	0.557068513191	0.809437937842	1.0	0.94825	1.88038	0.0	0.830671428571	0.0	1__Bacteria; 2__Firmicutes; 3__Tissierellia; 4__Tissierellales; 5__Peptoniphilaceae; 6__Anaerococcus; 7__Anaerococcus provenciensis
250	2.99919743178	0.557959717234	0.809437937842	1.0	1.04705	2.47334	0.0	2.24982857143	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Phyllobacteriaceae; 6__Nitratireductor; 7__Nitratireductor aquibiodomus
153	2.99279824045	0.559031320116	0.809437937842	1.0	3.0025125	1.24738	0.0	2.42264761905	0.0	1__Bacteria; 2__Firmicutes; 3__Tissierellia; 4__Tissierellia_u; 5__Tissierellia_u_u; 6__Tissierellia_u_u_u; 7__Tissierellia_u_u_u_u
122	2.93810444874	0.568236336054	0.809437937842	1.0	0.461225	1.59164	0.0	2.1574952381	0.0	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Rikenellaceae; 6__Alistipes; 7__Alistipes_u
101	2.9185514945	0.571546832576	0.809437937842	1.0	3.337975	3.25106	0.0	3.50164761905	0.0	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Ruminococcaceae; 6__Ruminococcaceae_u; 7__Ruminococcaceae_u_u
262	2.91508908004	0.572134118019	0.809437937842	1.0	1.47125	2.7147	0.0	2.05902380952	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Mycobacteriaceae; 6__Mycobacterium; 7__Mycobacterium sp. Root265
151	2.91278467909	0.572525161302	0.809437937842	1.0	3.4246375	2.90744	0.0	3.59102380952	0.0	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Tamlana; 7__Tamlana sp. s12
123	2.90463262228	0.573909649499	0.809437937842	1.0	3.6547625	4.62604	5.0556	4.12441904762	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Corynebacteriaceae; 6__Corynebacterium; 7__Corynebacterium durum
80	2.90363410134	0.574079352371	0.809437937842	1.0	5.913075	6.22118	7.6966	6.74494761905	7.0227	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Clostridiales_u; 6__Clostridiales_u_u; 7__Clostridiales_u_u_u
1014	2.87867728933	0.578329392526	0.809437937842	1.0	3.1592375	2.8055	0.0	3.5541	0.0	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Gammaproteobacteria prophage_u; 5__Gammaproteobacteria prophage_u_u; 6__Gammaproteobacteria prophage_u_u_u; 7__Gammaproteobacteria prophage_u_u_u_u
11	2.8770350614	0.578609628571	0.809437937842	1.0	0.9274875	1.31322	0.0	1.7949047619	0.0	1__Eukaryota; 2__Ascomycota; 3__Saccharomycetes; 4__Saccharomycetales; 5__Metschnikowiaceae; 6__Clavispora; 7__Clavispora lusitaniae
384	2.83676660219	0.58550295934	0.814747504267	1.0	1.0723625	2.05946	0.0	0.914276190476	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Actinomycetales; 5__Actinomycetaceae; 6__Actinotignum; 7__Actinotignum schaalii
136	2.78356948758	0.594672228435	0.81854800734	1.0	1.5092125	1.78204	0.0	2.82176666667	0.0	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Capnocytophaga; 7__Capnocytophaga_u
72	2.76011368511	0.598737221929	0.81854800734	1.0	13.32625	13.8706	15.16	13.2847619048	13.547	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Propionibacteriales; 5__Propionibacteriaceae; 6__Propionibacterium; 7__Propionibacterium_u
400	2.7485721703	0.600742259859	0.81854800734	1.0	1.186225	0.0	0.0	1.03757619048	0.0	1__Bacteria; 2__Actinobacteria; 3__Coriobacteriia; 4__Coriobacteriales; 5__Coriobacteriales_u; 6__Coriobacteriales_u_u; 7__Coriobacteriales_u_u_u
188	2.71240660726	0.607045367797	0.81854800734	1.0	2.893175	3.60896	0.0	3.16328571429	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Aeromonadales; 5__Aeromonadaceae; 6__Aeromonas; 7__Aeromonas dhakensis
328	2.70659443553	0.608061165087	0.81854800734	1.0	1.89135	2.48866	0.0	1.36533809524	0.0	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Lactobacillaceae; 6__Lactobacillus; 7__Lactobacillus plantarum
276	2.67779261237	0.613106175239	0.81854800734	1.0	0.368375	0.46438	0.0	1.3311	0.0	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Eubacteriaceae; 6__Eubacterium; 7__[Eubacterium] eligens
157	2.64757632718	0.618418738617	0.81854800734	1.0	2.8938625	2.83676	0.0	3.40799047619	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Streptomycetales; 5__Streptomycetaceae; 6__Streptomyces; 7__Streptomyces sp. Root63
102	2.64728843696	0.618469450432	0.81854800734	1.0	0.8554	2.06946	0.0	1.98135238095	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Corynebacteriaceae; 6__Corynebacterium; 7__Corynebacterium afermentans
427	2.625	0.622400931436	0.81854800734	1.0	0.554275	0.0	0.0	0.9932	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Dermatophilaceae; 6__Mobilicoccus; 7__Mobilicoccus pelagius
230	2.62075976458	0.623150061468	0.81854800734	1.0	1.2963875	1.2355	0.0	2.063	0.0	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriales_u; 6__Flavobacteriales_u_u; 7__Flavobacteriales_u_u_u
247	2.55044714058	0.635625802235	0.81854800734	1.0	2.38675	2.7175	0.0	2.55447619048	0.0	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Enterococcaceae; 6__Enterococcus; 7__Enterococcus faecium
172	2.55007670392	0.635691788935	0.81854800734	1.0	3.29165	2.96792	4.3473	3.3792952381	6.0338	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Lactobacillaceae; 6__Lactobacillus; 7__Lactobacillus_u
