OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Elder_mean	Adult_mean	Young_mean	taxonomy
246	1.26009890537	0.532565463563	0.982275082276	1.0	1.70095714286	1.87969	0.46718	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Corynebacteriaceae; 6__Corynebacterium; 7__Corynebacterium kroppenstedtii
235	1.24063732844	0.537773041259	0.982275082276	1.0	1.5674047619	1.00619	2.40452	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiaceae; 6__Lautropia; 7__Lautropia mirabilis
366	1.23666971359	0.538840938314	0.982275082276	1.0	1.4676952381	1.05883	0.46718	1__Bacteria; 2__Proteobacteria; 3__Epsilonproteobacteria; 4__Campylobacterales; 5__Campylobacteraceae; 6__Campylobacter; 7__Campylobacter jejuni
203	1.23444290337	0.539441220683	0.982275082276	1.0	2.99003333333	2.31376	1.80064	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Pelomonas; 7__Pelomonas_u
257	1.23370786517	0.539639512072	0.982275082276	1.0	1.88618095238	1.18474	2.29968	1__Bacteria; 2__Deinococcus-Thermus; 3__Deinococci; 4__Thermales; 5__Thermaceae; 6__Thermaceae_u; 7__Thermaceae_u_u
123	1.22084680026	0.543120862942	0.982275082276	1.0	4.35303809524	3.06874	4.3871	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Corynebacteriaceae; 6__Corynebacterium; 7__Corynebacterium durum
394	1.21324979696	0.545187831642	0.982275082276	1.0	0.917580952381	1.51158	1.58762	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Rhizobiaceae; 6__Rhizobium; 7__Rhizobium leguminosarum
130	1.20818619583	0.54656988731	0.982275082276	1.0	2.08897619048	1.84141	3.8042	1__Bacteria; 2__Fusobacteria; 3__Fusobacteriia; 4__Fusobacteriales; 5__Fusobacteriaceae; 6__Fusobacteriaceae_u; 7__Fusobacteriaceae_u_u
13	1.18204334365	0.553761233374	0.982275082276	1.0	1.43652857143	0.40499	1.03766	1__Eukaryota; 2__Ascomycota; 3__Pneumocystidomycetes; 4__Pneumocystidales; 5__Pneumocystidaceae; 6__Pneumocystis; 7__Pneumocystis murina
163	1.16766319822	0.557757165215	0.982275082276	1.0	2.37668571429	2.54561	0.99364	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Microbacteriaceae; 6__Microbacteriaceae_u; 7__Microbacteriaceae_u_u
