OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Elder_mean	Adult_mean	Young_mean	taxonomy
554	2.55821228165	0.278285937751	0.775332719227	1.0	0.777266666667	0.0	0.9933	1__Bacteria; 2__Bacteroidetes; 3__Chitinophagia; 4__Chitinophagales; 5__Chitinophagaceae; 6__Sediminibacterium; 7__Sediminibacterium sp. OR43
290	2.52942688255	0.282320185863	0.775332719227	1.0	0.576054166667	0.0	0.0	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Porphyromonadaceae; 6__Porphyromonas; 7__Porphyromonas gingivalis
561	2.52942688255	0.282320185863	0.775332719227	1.0	0.6852625	0.0	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Caulobacterales; 5__Caulobacteraceae; 6__Caulobacter; 7__Caulobacter vibrioides
194	2.47534671444	0.290058295505	0.775332719227	1.0	2.2511875	2.52726	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Alteromonadales; 5__Pseudoalteromonadaceae; 6__Pseudoalteromonas; 7__Pseudoalteromonas luteoviolacea
238	2.46976549414	0.290868865596	0.775332719227	1.0	0.892025	0.78834	2.098325	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Prevotella; 7__Prevotella nigrescens
643	2.46779833818	0.29115509855	0.775332719227	1.0	1.93709166667	2.22289	0.0	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Pseudomonadales prophage; 5__Pseudomonadaceae prophage; 6__Pseudomonas prophage; 7__Pseudomonas prophage_u
183	2.46245065317	0.291934643153	0.775332719227	1.0	1.54851666667	0.48861	0.0	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Alloprevotella; 7__Alloprevotella tannerae
494	2.46245065317	0.291934643153	0.775332719227	1.0	1.02922916667	0.39933	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobium; 7__Bradyrhizobium sp. URHA0002
362	2.46088081428	0.292163878284	0.775332719227	1.0	1.1228875	1.77761	0.0	1__Bacteria; 2__Chlamydiae; 3__Chlamydiia; 4__Chlamydiales; 5__Chlamydiaceae; 6__Chlamydia; 7__Chlamydia psittaci
365	2.45614872932	0.292855968867	0.775332719227	1.0	1.521675	0.91445	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Vibrionales; 5__Vibrionaceae; 6__Vibrio; 7__Vibrio vulnificus
646	2.44283196597	0.294812421861	0.775332719227	1.0	1.2345875	2.04509	0.0	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Pseudomonadales prophage; 5__Pseudomonadaceae prophage; 6__Pseudomonas prophage; 7__Pseudomonas sp. CBZ-4
1	2.42858273951	0.296920346499	0.775332719227	1.0	4.39459583333	1.79185	2.88035	1__Eukaryota; 2__Ascomycota; 3__Saccharomycetes; 4__Saccharomycetales; 5__Debaryomycetaceae; 6__Candida; 7__Candida orthopsilosis
127	2.39816067164	0.301471336852	0.775332719227	1.0	2.374725	2.29001	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Caulobacterales; 5__Caulobacteraceae; 6__Caulobacter; 7__Caulobacter sp. Root656
187	2.37916331402	0.304348559524	0.775332719227	1.0	2.12875	1.23274	0.0	1__Bacteria; 2__Chlamydiae; 3__Chlamydiia; 4__Chlamydiales; 5__Waddliaceae; 6__Waddlia; 7__Waddlia chondrophila
200	2.37413507918	0.305114690207	0.775332719227	1.0	2.84205	1.28322	1.958125	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidetes_u; 4__Bacteroidetes_u_u; 5__Bacteroidetes_u_u_u; 6__Bacteroidetes_u_u_u_u; 7__Bacteroidetes_u_u_u_u_u
108	2.31114726528	0.314876861442	0.775332719227	1.0	1.76534166667	2.80866	3.935875	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Bacteroidales_u; 6__Bacteroidales_u_u; 7__Bacteroidales_u_u_u
190	2.30629216911	0.315642168699	0.775332719227	1.0	1.13032916667	0.62128	2.518175	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Prevotella; 7__Prevotella pallens
214	2.28138559708	0.319597528398	0.775332719227	1.0	1.41814166667	2.21002	0.0	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Prevotellaceae_u; 7__Prevotellaceae_u_u
179	2.2809119621	0.319673223646	0.775332719227	1.0	3.40009166667	1.60293	2.131225	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Staphylococcaceae; 6__Staphylococcus; 7__Staphylococcus saprophyticus
236	2.27218700475	0.32107083758	0.775332719227	1.0	1.02949583333	0.0	1.792125	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Porphyromonadaceae; 6__Porphyromonas; 7__Porphyromonas endodontalis
567	2.27218700475	0.32107083758	0.775332719227	1.0	0.605695833333	0.0	0.9933	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobium; 7__Bradyrhizobium sp. BR 10245
125	2.25648283197	0.323601837346	0.775332719227	1.0	2.4968125	0.52321	1.80155	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Empedobacter; 7__Empedobacter_u
406	2.25291146282	0.324180204392	0.775332719227	1.0	1.220775	0.55377	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Thiotrichales; 5__Piscirickettsiaceae; 6__Piscirickettsia; 7__Piscirickettsia salmonis
294	2.21034306979	0.331154072891	0.775332719227	1.0	1.3237625	2.48194	0.9933	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Mycobacteriaceae; 6__Mycobacterium; 7__Mycobacterium sp. 1100029.7
35	2.1910723719	0.334360279593	0.775332719227	1.0	1.17004166667	0.0	0.9933	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Bifidobacteriales; 5__Bifidobacteriaceae; 6__Bifidobacterium; 7__Bifidobacterium dentium
175	2.1910723719	0.334360279593	0.775332719227	1.0	1.2297	0.0	1.48985	1__Bacteria; 2__Spirochaetes; 3__Spirochaetia; 4__Spirochaetales; 5__Spirochaetaceae; 6__Treponema; 7__Treponema denticola
548	2.1910723719	0.334360279593	0.775332719227	1.0	0.5928	0.0	0.9933	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Sphingomonadales; 5__Sphingomonadaceae; 6__Sphingomonas; 7__Sphingomonas endophytica
81	2.18462078016	0.335440599109	0.775332719227	1.0	0.8422625	1.10189	2.123975	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Chryseobacterium; 7__Chryseobacterium_u
170	2.1826715213	0.33576768876	0.775332719227	1.0	2.28950833333	1.73999	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Vibrionales; 5__Vibrionaceae; 6__Vibrio; 7__Vibrio cholerae
468	2.1824022536	0.3358128975	0.775332719227	1.0	0.496354166667	1.09214	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Alcaligenaceae; 6__Achromobacter; 7__Achromobacter xylosoxidans
139	2.16168205267	0.339310036932	0.777688697787	1.0	0.763925	1.66743	1.202175	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pasteurellales; 5__Pasteurellaceae; 6__Haemophilus; 7__Haemophilus sputorum
298	2.0843396441	0.35268857965	0.786825233195	1.0	1.4582	2.0393	0.0	1__Bacteria; 2__Fusobacteria; 3__Fusobacteriia; 4__Fusobacteriales; 5__Leptotrichiaceae; 6__Streptobacillus; 7__Streptobacillus moniliformis
350	2.06988906498	0.355246084995	0.786825233195	1.0	0.917308333333	0.0	0.964825	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Carnobacteriaceae; 6__Granulicatella; 7__Granulicatella_u
213	2.06367153226	0.356352180477	0.786825233195	1.0	0.613854166667	1.68128	0.0	1__Bacteria; 2__Bacteroidetes; 3__Sphingobacteriia; 4__Sphingobacteriales; 5__Sphingobacteriaceae; 6__Pedobacter; 7__Pedobacter panaciterrae
435	2.06017399765	0.356975902735	0.786825233195	1.0	0.569904166667	1.00622	0.0	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Prevotella; 7__Prevotella sp. oral taxon 306
27	2.05725914601	0.35749654794	0.786825233195	1.0	2.17309583333	3.23561	1.3441	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Streptococcaceae; 6__Streptococcus; 7__Streptococcus parasanguinis
283	2.05259495594	0.358331236774	0.786825233195	1.0	1.66016666667	0.98688	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Streptomycetales; 5__Streptomycetaceae; 6__Streptomyces; 7__Streptomyces turgidiscabies
114	1.97083239193	0.373283835377	0.809209323217	1.0	3.582925	4.144	6.146825	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Staphylococcaceae; 6__Staphylococcus; 7__Staphylococcus epidermidis
358	1.96871379144	0.373679464543	0.809209323217	1.0	1.54636666667	1.36776	0.0	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Listeriaceae; 6__Listeria; 7__Listeria monocytogenes
104	1.93561433522	0.379915215748	0.817077929758	1.0	2.72161666667	4.4214	1.772225	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Porphyromonadaceae; 6__Porphyromonadaceae_u; 7__Porphyromonadaceae_u_u
28	1.8232764281	0.401865343035	0.821686900882	1.0	9.55763333333	10.29072	9.1853	1__Bacteria; 2__Proteobacteria; 3__Proteobacteria_u; 4__Proteobacteria_u_u; 5__Proteobacteria_u_u_u; 6__Proteobacteria_u_u_u_u; 7__Proteobacteria_u_u_u_u_u
629	1.80265840852	0.406029604618	0.821686900882	1.0	1.50735833333	3.31027	2.449125	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Streptococcaceae prophage; 6__Streptococcus prophage; 7__Streptococcus mitis
314	1.79318816304	0.407956763699	0.821686900882	1.0	1.04054166667	0.59237	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Mycobacteriaceae; 6__Mycobacterium; 7__Mycobacterium sp. 1554424.7
