OTU	Test-Statistic	P	FDR_P	Bonferroni_P	OL_mean	OSCC_mean	PVL_mean	CTRL_mean	taxonomy
388	9.74947256282	0.0208202701683	0.0990540126187	1.0	0.0	2.44818571429	1.33192	2.06985	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobium; 7__Bradyrhizobium viridifuturi
268	9.62096223341	0.0220787406656	0.100881946243	1.0	0.0	2.38665	3.40936	0.964825	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobium; 7__Bradyrhizobium sp. BTAi1
506	9.57537688442	0.0225428505956	0.100881946243	1.0	0.0	1.65619285714	0.0	1.197525	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Acidovorax; 7__Acidovorax citrulli
437	9.54946796468	0.0228108859339	0.100881946243	1.0	0.0	1.5043	0.0	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Pelagibacterales; 5__Pelagibacteraceae; 6__Candidatus Pelagibacter; 7__Candidatus Pelagibacter ubique
516	9.54946796468	0.0228108859339	0.100881946243	1.0	0.0	1.40679285714	0.0	0.0	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Planococcaceae; 6__Solibacillus; 7__Solibacillus silvestris
548	9.54946796468	0.0228108859339	0.100881946243	1.0	0.0	1.30002857143	0.0	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Sphingomonadales; 5__Sphingomonadaceae; 6__Sphingomonas; 7__Sphingomonas endophytica
537	9.48367688784	0.023505646473	0.102510736007	1.0	0.0	1.47062142857	0.0	1.105025	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Streptomycetales; 5__Streptomycetaceae; 6__Streptomyces; 7__Streptomyces sp. AcH 505
71	9.37781030445	0.0246674196866	0.105375092909	1.0	5.73293	1.52802142857	3.74307	0.0	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Elizabethkingia; 7__Elizabethkingia_u
59	9.36306656891	0.0248336206218	0.105375092909	1.0	4.77912	1.15947142857	5.56716	1.671775	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Rothia; 7__Rothia mucilaginosa
314	9.28838751581	0.0256924637592	0.107106513648	1.0	0.35408	1.95399285714	0.0	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Mycobacteriaceae; 6__Mycobacterium; 7__Mycobacterium sp. 1554424.7
133	9.22022031729	0.0265017964097	0.107106513648	1.0	0.0	1.46815714286	0.0	3.688625	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Neisseriales; 5__Neisseriaceae; 6__Neisseria; 7__Neisseria gonorrhoeae
205	9.18357256056	0.0269471801854	0.107106513648	1.0	0.0	0.265464285714	3.13121	0.0	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Capnocytophaga; 7__Capnocytophaga sputigena
307	9.18357256056	0.0269471801854	0.107106513648	1.0	0.0	0.16685	2.51106	0.0	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Capnocytophaga; 7__Capnocytophaga sp. CM59
530	9.18357256056	0.0269471801854	0.107106513648	1.0	1.59677	0.167857142857	0.0	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. LAMO17WK12:I2
164	9.0957844691	0.0280441179239	0.108911927977	1.0	2.70699	0.0	0.41094	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Bifidobacteriales; 5__Bifidobacteriaceae; 6__Gardnerella; 7__Gardnerella vaginalis
365	9.08208864306	0.0282191501386	0.108911927977	1.0	0.71688	2.41271428571	0.47179	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Vibrionales; 5__Vibrionaceae; 6__Vibrio; 7__Vibrio vulnificus
128	9.06477356181	0.0284419684525	0.108911927977	1.0	5.21313	3.64477857143	1.9259	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas syringae
