Group	CTRL	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	C05	L01	L02	L03	L05	L06	L07	L08	L09	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V04	V07	V08	V09	V10
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillales_u|Lactobacillales_u_u|Lactobacillales_u_u_u	2	8	1	17	0	4	9	1	49	0	40	1	0	11	3	2	0	1	2	10	0	13	3	15	7	1	0	0	11	0	7	1	9	3	0	13
Bacteria|Cyanobacteria|Cyanobacteria_n|Cyanobacteria_n_u|Cyanobacteria_n_u_u|Cyanobacteria_n_u_u_u|Cyanobacteria_n_u_u_u_u	7	3	0	0	0	28	53	0	7	4	11	1	1	3	46	2	0	0	3	20	0	0	2	1	1	0	1	1	0	0	5	1	2	6	1	18
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium imitans	17	9	0	3	0	0	0	0	19	1	0	0	0	2	176	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter_u	1	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0	6	0	4	85	3	0	1	6	1	0	0	0	0	0	0	93	7	0	1	4
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Pseudoclavibacter|Pseudoclavibacter_u	1	5	0	0	1	0	0	0	0	5	4	0	4	60	83	1	0	2	1	10	2	0	10	1	1	5	0	1	0	0	22	3	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Tamlana|Tamlana sp. s12	2	4	4	0	1	2	7	0	1	0	4	0	0	0	0	1	8	0	1	0	6	0	0	3	7	33	13	9	74	2	5	0	7	0	17	1
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella|Prevotella sp. oral taxon 473	2	1	1	151	0	0	1	0	2	0	1	0	0	4	0	1	0	0	1	1	0	0	4	37	0	1	0	0	2	0	2	0	0	5	0	1
Bacteria|Firmicutes|Tissierellia|Tissierellia_u|Tissierellia_u_u|Tissierellia_u_u_u|Tissierellia_u_u_u_u	1	7	0	27	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	108	36	0	1	8	1	3	3	0	3	1	1	9	2	1	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Kocuria|Kocuria_u	18	32	14	11	1	3	0	0	36	0	11	2	5	1	13	3	4	2	4	2	1	2	22	6	1	2	0	2	0	1	11	3	0	2	0	1
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema|Treponema_u	0	0	0	8	0	0	0	0	0	1	0	0	0	1	0	0	15	0	0	0	0	0	0	40	73	2	65	0	4	0	3	0	0	0	0	1
